YEAR,AMA,SECTOR,CATEGORY,PARENT WATER TYPE OR SECTOR,BUDGET ELEMENT,QUANTITY
1985,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,225094
1985,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,360702
1985,PHOENIX AMA,Municipal,Supply,Spill,Spill,47705
1985,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,69229
1985,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,5810
1985,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,13628
1985,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,647719
1985,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,367146
1985,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30138
1985,PHOENIX AMA,Agricultural,Supply,Spill,Spill,220522
1985,PHOENIX AMA,Agricultural,Supply,Other,Other,107
1985,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,34818
1985,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,152880
1985,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,13159
1985,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,4946
1985,PINAL AMA,Industrial,Supply,Effluent,Effluent,9
1985,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,594844
1985,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,195409
1985,PINAL AMA,Agricultural,Supply,Effluent,Effluent,1839
1985,PINAL AMA,Indian,Supply,Groundwater,Groundwater,24525
1985,PINAL AMA,Indian,Supply,Surface Water,Surface Water,29120
1985,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,4579
1985,PRESCOTT AMA,Municipal,Supply,Surface Water,Surface Water,210
1985,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,641
1985,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,11192
1985,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,9795
1985,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,4140
1985,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1407
1985,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,8960
1985,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,113080
1985,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,45896
1985,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,708
1985,TUCSON AMA,Industrial,Supply,Other,Other,12
1985,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,111333
1985,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,3546
1985,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,72
1986,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,292108
1986,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,347865
1986,PHOENIX AMA,Municipal,Supply,CAP,CAP,13036
1986,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,1713
1986,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,1713
1986,PHOENIX AMA,Municipal,Supply,Spill,Spill,9458
1986,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,71644
1986,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,1
1986,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,5810
1986,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,30029
1986,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,645950
1986,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,413154
1986,PHOENIX AMA,Agricultural,Supply,CAP,CAP,8574
1986,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30015
1986,PHOENIX AMA,Agricultural,Supply,Spill,Spill,42767
1986,PHOENIX AMA,Agricultural,Supply,Other,Other,32
1986,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,97093
1986,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,169512
1986,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,13516
1986,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,989
1986,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,4682
1986,PINAL AMA,Industrial,Supply,Effluent,Effluent,10
1986,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,516756
1986,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,161870
1986,PINAL AMA,Agricultural,Supply,Effluent,Effluent,2534
1986,PINAL AMA,Indian,Supply,Groundwater,Groundwater,60962
1986,PINAL AMA,Indian,Supply,Surface Water,Surface Water,26560
1986,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,4784
1986,PRESCOTT AMA,Municipal,Supply,Surface Water,Surface Water,276
1986,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,779
1986,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,7913
1986,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,8556
1986,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,4038
1986,SANTA CRUZ AMA,Industrial,Supply,Groundwater,Water withdrawn from wells,1371
1986,SANTA CRUZ AMA,Agricultural,Supply,Groundwater,Water withdrawn from wells,10686
1986,TUCSON AMA,Municipal,Supply,Groundwater,Groundwater,120410
1986,TUCSON AMA,Industrial,Supply,Groundwater,Groundwater,42905
1986,TUCSON AMA,Industrial,Supply,Surface Water,Surface Water,930
1986,TUCSON AMA,Agricultural,Supply,Groundwater,Groundwater,99808
1986,TUCSON AMA,Agricultural,Supply,Effluent,Effluent,3102
1986,TUCSON AMA,Indian,Supply,Groundwater,Groundwater,75
1987,PHOENIX AMA,Municipal,Supply,Groundwater,Groundwater,266605
1987,PHOENIX AMA,Municipal,Supply,Surface Water,Surface Water,351303
1987,PHOENIX AMA,Municipal,Supply,CAP,CAP,59518
1987,PHOENIX AMA,Municipal,Supply,Effluent,Effluent,1513
1987,PHOENIX AMA,Municipal,Supply,Effluent,Direct Use Effluent,1513
1987,PHOENIX AMA,Municipal,Supply,Spill,Spill,21735
1987,PHOENIX AMA,Industrial,Supply,Groundwater,Groundwater,74670
1987,PHOENIX AMA,Industrial,Supply,Groundwater,Poor Quality GW,107
1987,PHOENIX AMA,Industrial,Supply,Surface Water,Surface Water,4917
1987,PHOENIX AMA,Industrial,Supply,CAP,CAP,894
1987,PHOENIX AMA,Industrial,Supply,Effluent,Effluent,38029
1987,PHOENIX AMA,Agricultural,Supply,Groundwater,Groundwater,572866
1987,PHOENIX AMA,Agricultural,Supply,Surface Water,Surface Water,383850
1987,PHOENIX AMA,Agricultural,Supply,CAP,CAP,60597
1987,PHOENIX AMA,Agricultural,Supply,Effluent,Effluent,30003
1987,PHOENIX AMA,Agricultural,Supply,Spill,Spill,154638
1987,PHOENIX AMA,Agricultural,Supply,Other,Other,5477
1987,PHOENIX AMA,Indian,Supply,Groundwater,Groundwater,94658
1987,PHOENIX AMA,Indian,Supply,Surface Water,Surface Water,189208
1987,PINAL AMA,Municipal,Supply,Groundwater,Groundwater,14492
1987,PINAL AMA,Municipal,Supply,Surface Water,Surface Water,989
1987,PINAL AMA,Industrial,Supply,Groundwater,Groundwater,4108
1987,PINAL AMA,Industrial,Supply,Effluent,Effluent,12
1987,PINAL AMA,Agricultural,Supply,Groundwater,Groundwater,529846
1987,PINAL AMA,Agricultural,Supply,Surface Water,Surface Water,183626
1987,PINAL AMA,Agricultural,Supply,CAP,CAP,41008
1987,PINAL AMA,Agricultural,Supply,Effluent,Effluent,5831
1987,PINAL AMA,Indian,Supply,Groundwater,Groundwater,46580
1987,PINAL AMA,Indian,Supply,Surface Water,Surface Water,28480
1987,PINAL AMA,Indian,Supply,CAP,CAP,19000
1987,PRESCOTT AMA,Municipal,Supply,Groundwater,Groundwater,5870
1987,PRESCOTT AMA,Municipal,Supply,Surface Water,Surface Water,259
1987,PRESCOTT AMA,Industrial,Supply,Groundwater,Groundwater,895
1987,PRESCOTT AMA,Agricultural,Supply,Groundwater,Groundwater,5513
1987,PRESCOTT AMA,Agricultural,Supply,Surface Water,Surface Water,8530
1987,SANTA CRUZ AMA,Municipal,Supply,Groundwater,Water withdrawn from wells,4613
